Time, Variation Distance, Total Energy, Number of Interactions, Plus Nodes, Minus Nodes, Energyexchanged, LifeTime
0, 0.5020515097598315 , 1488.665 , 0.0, 0.0 , 0.0, 46.04106540489197, 2.659
200, 0.14641636983138018 , 1249.220607992649 , 19.813, 0.0 , 0.0, 46.04106540489197, 9.566794454574586
400, 0.12493202255564993 , 1237.0031414755285 , 21.146, 0.0 , 0.0, 46.04106540489197, 10.281553624004125
600, 0.12149751865772837 , 1235.0706422549188 , 21.355, 0.0 , 0.0, 46.04106540489197, 10.448001081556082
800, 0.12072993440109879 , 1234.65860896644 , 21.399, 0.0 , 0.0, 46.04106540489197, 10.511361682981253
1000, 0.12063564104620354 , 1234.6072386403978 , 21.406, 0.0 , 0.0, 46.04106540489197, 10.52216740140319
1200, 0.1206028172673898 , 1234.592021825403 , 21.411, 0.0 , 0.0, 46.04106540489197, 10.529617790311574
1400, 0.12047486945659679 , 1234.5218220630586 , 21.415, 0.0 , 0.0, 46.04106540489197, 10.555347837537527
1600, 0.12047486945659679 , 1234.5218220630586 , 21.415, 0.0 , 0.0, 46.04106540489197, 10.555347837537527
1800, 0.12047486945659679 , 1234.5218220630586 , 21.415, 0.0 , 0.0, 46.04106540489197, 10.555347837537527
2000, 0.12047486945659679 , 1234.5218220630586 , 21.415, 0.0 , 0.0, 46.04106540489197, 10.555347837537527
2200, 0.120469700193112 , 1234.5190272117554 , 21.416, 0.0 , 0.0, 46.04106540489197, 10.557211071103811
2400, 0.120469700193112 , 1234.5190272117554 , 21.416, 0.0 , 0.0, 46.04106540489197, 10.557211071103811
2600, 0.12046922989010544 , 1234.5187735534607 , 21.417, 0.0 , 0.0, 46.04106540489197, 10.557380176633597
2800, 0.12046922989010544 , 1234.5187735534607 , 21.417, 0.0 , 0.0, 46.04106540489197, 10.557380176633597
3000, 0.12046922989010544 , 1234.5187735534607 , 21.417, 0.0 , 0.0, 46.04106540489197, 10.557380176633597
3200, 0.12046922989010544 , 1234.5187735534607 , 21.417, 0.0 , 0.0, 46.04106540489197, 10.557380176633597
3400, 0.12046922989010544 , 1234.5187735534607 , 21.417, 0.0 , 0.0, 46.04106540489197, 10.557380176633597
3600, 0.12046922989010544 , 1234.5187735534607 , 21.417, 0.0 , 0.0, 46.04106540489197, 10.557380176633597
3800, 0.12046922989010544 , 1234.5187735534607 , 21.417, 0.0 , 0.0, 46.04106540489197, 10.557380176633597
4000, 0.12046922989010544 , 1234.5187735534607 , 21.417, 0.0 , 0.0, 46.04106540489197, 10.557380176633597
