Node, Single(Without Relay), Single(with Relay), Multi (Without Relay), Single(With Relay)
0,-3.663735981263017E-17,-3.663735981263017E-17,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,1.0000000474974512E-6,1.0000000474974512E-6,0.0,0.0
17,0.01378050947189331,0.01378050947189331,0.0,0.0
18,0.03927801376581192,0.03927801376581192,0.0,0.0
19,0.11856007485091687,0.11856007485091687,0.0,0.0
20,0.2535969582796097,0.2535969582796097,0.0,0.0
21,0.8085576252858154,0.8085576252858154,0.0,0.0
22,1.816053957450902,1.816053957450902,0.0,0.0
23,3.965882324687671,3.965882324687671,0.0,0.0
24,7.847768333561253,7.847768333561253,0.0,0.0
25,13.569636794605525,13.569636794605525,0.0,0.0
26,20.764996791604208,20.764996791604208,0.0,0.0
27,30.056460898666643,30.056460898666643,0.0,0.0
28,40.503752639413925,40.503752639413925,0.0,0.0
29,59.29673160604143,59.29673160604143,0.0,0.0
